,PropertyID,SaleDate,Town,Bedrooms,Bathroom,PropertyType,DistanceFromCBD,CarSpaces,Gardensqm,Landsqm,floorsqm,YearBuilt,Region,TownDensity,SalePrice
15,2914,15/10/2016,Haberfield,3,1.0,House,9.9,3.0,124.0,464.0,124.0,1955.0,ZoneA,7485.0,770000.0
16,8702,09/12/2017,Haberfield,3,,Flat,8.5,,,,,,ZoneA,7485.0,740000.0
17,6894,19/08/2017,Leichhardt,2,,Terrace,7.0,,,,,,ZoneA,8870.0,750000.0
18,3671,06/08/2016,Surrey Hills,2,1.0,Flat,2.6,2.0,68.0,0.0,68.0,2000.0,ZoneA,14949.0,550000.0
19,7590,21/10/2017,Kellyville,2,,Flat,12.0,,,,,,ZoneA,21650.0,546000.0
20,2765,13/08/2016,Malabar,4,2.0,House,5.5,1.0,186.0,573.0,186.0,1890.0,ZoneA,11364.0,2175000.0
21,3882,04/06/2016,Heckenberg,2,1.0,Flat,3.3,1.0,73.0,0.0,73.0,1960.0,ZoneB,14887.0,572000.0
22,9422,24/02/2018,Kings Park,4,2.0,House,11.4,4.0,,599.0,,1930.0,ZoneB,6795.0,2050000.0
23,7177,26/08/2017,Kellyville,3,1.0,Terrace,12.0,1.0,128.0,224.0,128.0,2008.0,ZoneA,21650.0,640000.0
24,5546,17/06/2017,Kellyville,3,,House,12.0,,,,,,ZoneA,21650.0,890000.0
25,4447,17/09/2016,Liverpool,1,1.0,Flat,11.8,1.0,36.0,0.0,36.0,1970.0,ZoneB,3578.0,296000.0
26,4350,16/04/2016,Denver,1,1.0,Flat,7.0,1.0,47.0,0.0,47.0,1970.0,ZoneC,6543.0,345000.0
27,2402,14/05/2016,Wapping,2,,House,5.6,,,,,,ZoneB,10331.0,1205000.0
28,5426,03/06/2017,Heckenberg,2,2.0,Flat,2.7,1.0,73.0,0.0,73.0,2014.0,ZoneB,14887.0,800000.0
29,6551,09/09/2017,Osbourne Park,3,2.0,House,6.2,2.0,177.0,,177.0,1950.0,ZoneC,6232.0,1450000.0
30,148,10/12/2016,Oyster Bay,4,3.0,House,9.7,4.0,,1148.0,,,ZoneB,5682.0,3180000.0
31,3509,18/06/2016,Kellyville,3,1.0,House,11.2,2.0,,945.0,,,ZoneA,21650.0,779000.0
32,7299,07/10/2017,Heckenberg,2,,Flat,2.7,,,,,,ZoneB,14887.0,650000.0
33,465,28/08/2016,Kings Park,3,2.0,House,13.0,2.0,150.0,572.0,150.0,1930.0,ZoneB,6795.0,1535000.0
34,5264,01/07/2017,Kellyville,3,,House,12.0,,,,,,ZoneA,21650.0,680500.0
35,2645,14/05/2016,Osbourne Park,2,1.0,Flat,6.9,1.0,39.0,0.0,39.0,2014.0,ZoneC,6232.0,330000.0
36,2091,28/08/2016,Enfield,2,,House,13.0,,,,,,ZoneA,8870.0,675000.0
37,4043,04/03/2017,Penrith,4,1.0,House,6.1,1.0,,300.0,,,ZoneB,13240.0,2455000.0
38,69,22/08/2016,Tempe,4,,House,5.9,,,,,,ZoneC,6567.0,1070000.0
39,4209,11/02/2017,Leichhardt,3,1.0,House,6.5,3.0,,705.0,,,ZoneA,8870.0,1430000.0
40,4353,16/04/2016,Denver,3,1.0,House,7.0,1.0,,202.0,,,ZoneC,6543.0,955000.0
41,5708,24/06/2017,Leichhardt,2,1.0,House,7.0,2.0,,443.0,,,ZoneA,8870.0,1000000.0
42,7804,28/10/2017,Fairfield,4,2.0,House,8.4,2.0,129.0,511.0,129.0,1930.0,ZoneA,14577.0,1040000.0
43,9221,17/03/2018,Preston,4,,Terrace,13.8,,,,,,ZoneB,10969.0,1395000.0
44,1831,07/05/2016,Newcastle,4,2.0,House,9.2,2.0,,859.0,,,ZoneB,10412.0,3500000.0
45,1237,22/05/2016,Pennant Hills,4,,House,7.8,,,,,,ZoneB,8920.0,3150000.0
46,8899,03/03/2018,Greenwich,3,1.0,House,5.2,1.0,103.0,262.0,103.0,1910.0,ZoneA,11918.0,1160000.0
47,1406,03/12/2016,Chiswick,3,1.0,House,7.8,2.0,,371.0,,,ZoneA,11204.0,790000.0
48,3790,22/05/2016,Surrey Hills,4,1.0,House,2.6,0.0,124.0,254.0,124.0,1890.0,ZoneA,14949.0,905000.0
49,7180,26/08/2017,Kellyville,3,,Flat,12.0,,,,,,ZoneA,21650.0,635000.0
50,7017,23/09/2017,Kellyville,3,1.0,House,12.0,2.0,,,,,ZoneA,21650.0,600000.0
51,6363,03/09/2017,Waverly,3,2.0,House,10.3,3.0,,594.0,,,ZoneB,6938.0,1590000.0
52,9523,24/02/2018,Hillbrow,3,1.0,House,5.3,1.0,110.0,251.0,110.0,1890.0,ZoneB,11308.0,1660000.0
53,5792,27/05/2017,Enfield,2,1.0,House,11.2,2.0,,650.0,,,ZoneA,8870.0,650000.0
54,5244,01/07/2017,Osbourne Park,2,1.0,House,6.2,1.0,,450.0,,,ZoneC,6232.0,1250000.0
55,4845,13/05/2017,Wapping,2,1.0,Flat,5.6,1.0,95.0,826.0,95.0,1960.0,ZoneB,10331.0,820000.0
56,6244,29/07/2017,Oyster Bay,4,3.0,Terrace,7.9,2.0,,232.0,,,ZoneB,5682.0,1450000.0
57,6123,15/07/2017,Haberfield,3,1.0,House,8.5,1.0,,480.0,,,ZoneA,7485.0,881000.0
58,3223,18/03/2017,Fairfield,3,2.0,House,8.8,1.0,,0.0,,,ZoneA,14577.0,928000.0
59,3570,25/02/2017,Kellyville,2,1.0,House,11.2,1.0,,425.0,,1960.0,ZoneA,21650.0,500250.0
60,1830,07/05/2016,Newcastle,3,2.0,House,9.2,2.0,188.0,625.0,188.0,1951.0,ZoneB,10412.0,1700000.0
61,1967,04/03/2017,Enfield,3,1.0,House,13.0,4.0,105.0,700.0,105.0,1950.0,ZoneA,8870.0,822000.0
62,6827,19/08/2017,Chiswick,3,1.0,House,6.7,2.0,98.0,392.0,98.0,1920.0,ZoneA,11204.0,1070000.0
63,567,12/11/2016,Preston,3,2.0,House,13.9,2.0,120.0,578.0,120.0,1950.0,ZoneB,10969.0,920000.0
64,2135,10/12/2016,Denistone,4,2.0,House,13.7,2.0,,487.0,,,ZoneB,5454.0,1460000.0
65,2831,27/06/2016,Malabar,4,,House,5.5,,,,,,ZoneA,11364.0,1100000.0
66,8087,18/11/2017,Carlingford,1,,Flat,10.1,,,,,,ZoneB,7822.0,350000.0
67,574,14/05/2016,Preston,3,2.0,Terrace,13.9,1.0,117.0,268.0,117.0,2000.0,ZoneB,10969.0,805000.0
68,3212,17/09/2016,Fairfield,3,1.0,House,8.8,2.0,,468.0,,,ZoneA,14577.0,930000.0
69,4514,22/04/2017,Kings Park,3,,Terrace,13.0,,,,,,ZoneB,6795.0,782000.0
70,5844,27/05/2017,Fairfield,3,1.0,House,8.4,2.0,186.0,483.0,186.0,1930.0,ZoneA,14577.0,1171000.0
71,4275,25/02/2017,Leichhardt,2,,Flat,6.5,,,,,,ZoneA,8870.0,490000.0
72,8931,03/03/2018,Newcastle,4,3.0,House,7.3,2.0,,868.0,,,ZoneB,10412.0,3845000.0
73,5857,27/05/2017,Surrey Hills,3,1.0,House,2.4,1.0,,111.0,,,ZoneA,14949.0,1250000.0
74,701,28/05/2016,Preston,3,2.0,House,13.9,1.0,122.0,185.0,122.0,2012.0,ZoneB,10969.0,886000.0
75,8896,03/03/2018,Greenwich,2,1.0,House,5.2,0.0,,182.0,,,ZoneA,11918.0,900000.0
76,4917,22/04/2017,Liverpool,3,,House,11.8,,,,,,ZoneB,3578.0,1710000.0
77,2052,22/05/2016,Enfield,4,1.0,House,13.0,2.0,130.0,630.0,130.0,1960.0,ZoneA,8870.0,630000.0
78,8061,18/11/2017,Preston,3,2.0,Terrace,13.8,1.0,,,,,ZoneB,10969.0,1085000.0
79,632,18/06/2016,Preston,4,2.0,Terrace,13.9,2.0,256.0,319.0,256.0,2015.0,ZoneB,10969.0,1465000.0
80,7127,26/08/2017,Newcastle,4,2.0,House,7.3,2.0,0.0,647.0,0.0,1910.0,ZoneB,10412.0,2690000.0
81,5760,27/05/2017,Pennant Hills,2,,House,7.7,,,,,,ZoneB,8920.0,2303000.0
82,5747,27/05/2017,Waverly,4,3.0,House,10.3,2.0,,592.0,,,ZoneB,6938.0,2300000.0
83,1513,27/06/2016,Chiswick,2,1.0,House,7.8,0.0,,167.0,,,ZoneA,11204.0,642000.0
84,1508,27/06/2016,Chiswick,3,,House,7.8,,,,,,ZoneA,11204.0,630000.0
85,6238,22/07/2017,Denver,2,1.0,House,6.3,3.0,123.5,463.0,123.5,1940.0,ZoneC,6543.0,900000.0
86,8217,18/11/2017,Denver,3,,House,6.3,,,,,,ZoneC,6543.0,1006000.0
87,2256,10/12/2016,Hillbrow,3,2.0,House,4.6,2.0,,264.0,,1970.0,ZoneB,11308.0,1510000.0
88,4621,20/05/2017,Greenwich,4,3.0,House,5.2,2.0,212.0,0.0,212.0,2012.0,ZoneA,11918.0,1900000.0
89,992,28/05/2016,Waverly,2,1.0,Flat,10.7,1.0,,227.0,,1980.0,ZoneB,6938.0,750000.0
90,4291,28/08/2016,Leichhardt,3,2.0,House,6.5,1.0,128.0,359.0,128.0,1920.0,ZoneA,8870.0,1380000.0
91,9497,24/02/2018,Newcastle,3,,Terrace,7.3,,,,,,ZoneB,10412.0,1000000.0
92,2265,12/11/2016,Hillbrow,3,1.0,House,4.6,1.0,130.0,342.0,130.0,1900.0,ZoneB,11308.0,1712000.0
93,4063,07/11/2016,Penrith,2,1.0,Flat,6.1,1.0,,0.0,,,ZoneB,13240.0,455000.0
94,1488,23/04/2016,Chiswick,4,3.0,House,7.8,1.0,249.0,515.0,249.0,1900.0,ZoneA,11204.0,1250000.0
95,5223,01/07/2017,Newcastle,3,,Terrace,7.3,,,,,,ZoneB,10412.0,1900000.0
96,9095,17/02/2018,Preston,4,,Terrace,13.8,,,,,,ZoneB,10969.0,1010000.0
97,9303,17/03/2018,Hillbrow,4,2.0,House,5.3,2.0,294.0,660.0,294.0,1910.0,ZoneB,11308.0,3500000.0
98,135,08/10/2016,Oyster Bay,4,2.0,House,9.7,2.0,200.0,577.0,200.0,1948.0,ZoneB,5682.0,1800000.0
99,7769,28/10/2017,Abbotsford,3,2.0,House,8.4,2.0,,,,,ZoneB,8801.0,2100000.0
100,7791,28/10/2017,Haberfield,3,,Terrace,8.5,,,,,,ZoneA,7485.0,734000.0
101,3550,23/04/2016,Kellyville,2,,Terrace,11.2,,,,,,ZoneA,21650.0,360000.0
102,6410,03/09/2017,Enfield,4,1.0,House,11.2,3.0,122.0,649.0,122.0,1960.0,ZoneA,8870.0,835000.0
103,4367,19/11/2016,Denver,4,1.0,House,7.0,1.0,133.0,306.0,133.0,1910.0,ZoneC,6543.0,1401000.0
104,3779,18/06/2016,Surrey Hills,2,1.0,House,2.6,2.0,,292.0,,,ZoneA,14949.0,1430000.0
105,7939,11/11/2017,Newcastle,2,,Flat,7.3,,,,,,ZoneB,10412.0,845000.0
106,6368,03/09/2017,Greenwich,2,1.0,Flat,5.2,1.0,,,,,ZoneA,11918.0,515000.0
107,4611,08/04/2017,Greenwich,3,2.0,House,5.2,1.0,120.0,192.0,120.0,1910.0,ZoneA,11918.0,1260000.0
108,3344,07/05/2016,Kellyville,3,1.0,House,11.2,4.0,,503.0,,,ZoneA,21650.0,665000.0
109,44,15/10/2016,Tempe,3,2.0,House,5.9,2.0,,308.0,,,ZoneC,6567.0,1255000.0
110,5505,17/06/2017,Enfield,2,1.0,Flat,11.2,1.0,,136.0,,1980.0,ZoneA,8870.0,422000.0
111,6935,23/09/2017,Pennant Hills,3,,Flat,7.7,,,,,,ZoneB,8920.0,1840000.0
112,5856,27/05/2017,Surrey Hills,2,1.0,House,2.4,0.0,,164.0,,,ZoneA,14949.0,1000000.0
113,9328,17/03/2018,Malabar,2,,Flat,5.3,,,,,,ZoneA,11364.0,480000.0
114,6855,19/08/2017,Wapping,2,1.0,Flat,5.4,1.0,103.0,,103.0,1968.0,ZoneB,10331.0,901000.0
115,2550,18/03/2017,Abbotsford,3,2.0,House,11.2,1.0,,87.0,,,ZoneB,8801.0,1625000.0
116,9446,24/02/2018,Greenwich,2,1.0,House,5.2,0.0,,186.0,,,ZoneA,11918.0,805000.0
117,1028,08/10/2016,Greenwich,3,1.0,House,5.2,1.0,97.0,229.0,97.0,1930.0,ZoneA,11918.0,855000.0
118,1284,03/12/2016,Carlingford,4,2.0,House,11.4,0.0,,365.0,,1919.0,ZoneB,7822.0,1275000.0
119,6867,19/08/2017,Malabar,2,2.0,Flat,5.3,2.0,90.0,,90.0,2014.0,ZoneA,11364.0,754000.0
120,8214,18/11/2017,Leichhardt,3,,Flat,7.0,,,,,,ZoneA,8870.0,875000.0
121,88,27/11/2016,Tempe,3,2.0,Terrace,5.9,2.0,144.0,200.0,144.0,2003.0,ZoneC,6567.0,1000000.0
122,8252,25/11/2017,Double Bay,4,,House,10.5,,,,,,ZoneB,10579.0,3780000.0
123,6745,16/09/2017,Kellyville,3,1.0,House,12.0,1.0,,694.0,,,ZoneA,21650.0,900000.0
124,7179,26/08/2017,Kellyville,1,1.0,Flat,12.0,1.0,60.0,,60.0,2014.0,ZoneA,21650.0,372000.0
125,1818,04/06/2016,Newcastle,2,1.0,House,9.2,2.0,,660.0,,,ZoneB,10412.0,1500000.0
126,8398,25/11/2017,Penrith,3,,Flat,5.0,,,,,,ZoneB,13240.0,663000.0
127,6004,12/08/2017,Hillbrow,1,1.0,Flat,5.3,1.0,47.0,0.0,47.0,2004.0,ZoneB,11308.0,420000.0
128,2737,08/10/2016,Malabar,4,1.0,House,5.5,2.0,,608.0,,1870.0,ZoneA,11364.0,1950000.0
129,1719,08/10/2016,Darlington,3,1.0,House,6.4,1.0,141.0,0.0,141.0,2010.0,ZoneC,7570.0,853000.0
130,5334,03/06/2017,Carlingford,3,2.0,House,10.1,2.0,180.0,602.0,180.0,1970.0,ZoneB,7822.0,1570000.0
131,3146,07/11/2016,Fairfield,3,1.0,House,8.8,2.0,,581.0,,,ZoneA,14577.0,965000.0
132,6859,19/08/2017,Wapping,3,1.0,House,5.4,2.0,126.0,372.0,126.0,1905.0,ZoneB,10331.0,2180000.0
133,9260,17/03/2018,Pennant Hills,4,3.0,House,7.7,9.0,,601.0,,,ZoneB,8920.0,2000000.0
134,3060,18/03/2017,Chester Hill,2,1.0,House,3.8,0.0,90.0,82.0,90.0,1910.0,ZoneB,8648.0,1150000.0
135,7909,11/11/2017,Waverly,2,1.0,Terrace,10.3,1.0,,208.0,,,ZoneB,6938.0,860000.0
136,7218,07/10/2017,Preston,3,2.0,Terrace,13.8,1.0,,286.0,,,ZoneB,10969.0,1042000.0
137,390,10/12/2016,Kings Park,3,2.0,Terrace,13.0,2.0,,333.0,,,ZoneB,6795.0,1100000.0
138,7565,21/10/2017,Haberfield,3,2.0,House,8.5,2.0,,601.0,,,ZoneA,7485.0,871000.0
139,6777,19/08/2017,Tempe,4,2.0,House,4.3,2.0,257.0,,257.0,1930.0,ZoneC,6567.0,2300000.0
140,2879,07/05/2016,Haberfield,2,,House,9.9,,,,,,ZoneA,7485.0,517500.0
141,79,26/07/2016,Tempe,3,2.0,House,5.9,2.0,172.0,285.0,172.0,2011.0,ZoneC,6567.0,940000.0
142,3782,19/11/2016,Surrey Hills,2,1.0,Flat,2.6,1.0,70.0,0.0,70.0,1993.0,ZoneA,14949.0,646000.0
143,1259,27/06/2016,Pennant Hills,2,1.0,Flat,7.8,1.0,81.0,83.0,81.0,1960.0,ZoneB,8920.0,667000.0
144,7883,11/11/2017,Chipping Norton,3,1.0,House,9.7,4.0,,,,,ZoneB,7809.0,2340000.0
145,7447,14/10/2017,Surrey Hills,3,2.0,House,2.4,2.0,154.0,,154.0,2007.0,ZoneA,14949.0,1525000.0
146,1467,18/06/2016,Chiswick,4,2.0,House,7.8,2.0,,312.0,,,ZoneA,11204.0,650000.0
147,4016,30/07/2016,Heckenberg,1,,Flat,3.3,,,,,,ZoneB,14887.0,300000.0
148,5007,06/05/2017,Kellyville,4,1.0,House,11.2,2.0,,659.0,,,ZoneA,21650.0,741000.0
149,2643,12/11/2016,Osbourne Park,2,1.0,Terrace,6.9,1.0,111.0,1981.0,111.0,2006.0,ZoneC,6232.0,515000.0
150,7420,14/10/2017,Chester Hill,4,2.0,House,3.5,3.0,194.0,391.0,194.0,2000.0,ZoneB,8648.0,2160000.0
151,9401,24/02/2018,Tempe,3,1.0,Terrace,4.3,2.0,,370.0,,,ZoneC,6567.0,953000.0
152,298,18/06/2016,Chipping Norton,3,1.0,House,9.2,1.0,,809.0,,,ZoneB,7809.0,1800000.0
153,3853,03/09/2016,Heckenberg,2,,Flat,3.3,,,,,,ZoneB,14887.0,531000.0
154,2851,30/07/2016,Malabar,4,1.0,House,5.5,1.0,168.0,382.0,168.0,1970.0,ZoneA,11364.0,1650000.0
155,4629,22/04/2017,Greenwich,2,1.0,Flat,5.2,1.0,57.0,557.0,57.0,1960.0,ZoneA,11918.0,480000.0
156,424,18/03/2017,Kings Park,4,,Terrace,13.0,,,,,,ZoneB,6795.0,1380000.0
157,8388,25/11/2017,Surrey Hills,4,,House,2.4,,,,,,ZoneA,14949.0,1260000.0
158,4996,22/04/2017,Fairfield,2,,Terrace,8.8,,,,,,ZoneA,14577.0,610000.0
159,5321,03/06/2017,Greenwich,2,1.0,House,5.2,1.0,106.0,234.0,106.0,1910.0,ZoneA,11918.0,1315000.0
160,8876,03/03/2018,Double Bay,3,1.0,House,10.5,1.0,169.0,468.0,169.0,1910.0,ZoneB,10579.0,1826000.0
161,3456,15/10/2016,Kellyville,3,,House,11.2,,,,,,ZoneA,21650.0,795000.0
162,263,12/06/2016,Chipping Norton,5,1.0,House,9.2,1.0,,800.0,,1950.0,ZoneB,7809.0,1500000.0
163,5089,08/04/2017,Heckenberg,2,1.0,Flat,3.3,1.0,,0.0,,1970.0,ZoneB,14887.0,499000.0
164,847,27/11/2016,Double Bay,1,1.0,Flat,11.2,1.0,74.0,70.0,74.0,1980.0,ZoneB,10579.0,671000.0
165,9518,24/02/2018,Hillbrow,5,3.0,House,5.3,2.0,160.0,613.0,160.0,2013.0,ZoneB,11308.0,4630000.0
166,1633,18/03/2017,Granville,3,1.0,House,8.0,1.0,120.0,687.0,120.0,2016.0,ZoneC,9264.0,1470000.0
167,502,04/06/2016,Preston,2,1.0,Flat,13.9,1.0,,145.0,,,ZoneB,10969.0,570000.0
168,6314,29/07/2017,Kellyville,2,1.0,Terrace,12.0,1.0,120.0,243.0,120.0,2012.0,ZoneA,21650.0,672000.0
169,8710,09/12/2017,Chester Hill,2,1.0,House,3.5,,,113.0,,,ZoneB,8648.0,1100000.0
170,3787,22/05/2016,Surrey Hills,1,1.0,Flat,2.6,1.0,,0.0,,,ZoneA,14949.0,380000.0
171,2000,10/12/2016,Enfield,2,,Terrace,13.0,,,,,,ZoneA,8870.0,410000.0
172,3395,10/12/2016,Kellyville,3,,House,11.2,,,,,,ZoneA,21650.0,650000.0
173,5797,27/05/2017,Denistone,2,1.0,House,13.8,2.0,,765.0,,,ZoneB,5454.0,1695000.0
174,5419,03/06/2017,Kellyville,3,1.0,House,12.0,1.0,116.0,325.0,116.0,1930.0,ZoneA,21650.0,857700.0
175,94,28/05/2016,Tempe,3,2.0,House,5.9,1.0,,254.0,,,ZoneC,6567.0,932500.0
176,7140,26/08/2017,Hillbrow,3,2.0,Flat,5.3,3.0,100.0,,100.0,,ZoneB,11308.0,1335000.0
177,1141,27/11/2016,Greenwich,3,1.0,House,5.2,1.0,132.0,316.0,132.0,1910.0,ZoneA,11918.0,1340000.0
178,2221,04/03/2017,Hillbrow,1,1.0,Flat,4.6,1.0,63.0,0.0,63.0,1995.0,ZoneB,11308.0,492000.0
179,7936,11/11/2017,Newcastle,2,,Flat,7.3,,,,,,ZoneB,10412.0,605000.0
180,150,10/12/2016,Oyster Bay,3,,Terrace,9.7,,,,,,ZoneB,5682.0,788000.0
181,5947,08/07/2017,Denver,3,1.0,House,6.3,1.0,124.0,284.0,124.0,1900.0,ZoneC,6543.0,1285000.0
182,4865,29/04/2017,Abbotsford,4,2.0,House,11.2,2.0,,559.0,,,ZoneB,8801.0,1465000.0
183,3057,18/03/2017,Chester Hill,3,2.0,House,3.8,0.0,,211.0,,,ZoneB,8648.0,1515000.0
184,7914,11/11/2017,Greenwich,3,,Flat,5.2,,,,,,ZoneA,11918.0,640000.0
185,6956,23/09/2017,Darlington,1,1.0,Flat,5.1,1.0,50.0,,50.0,2015.0,ZoneC,7570.0,373000.0
186,8670,09/12/2017,Hillbrow,3,2.0,House,5.3,1.0,133.0,120.0,133.0,1890.0,ZoneB,11308.0,1660000.0
187,6220,22/07/2017,Kellyville,2,2.0,Terrace,12.0,1.0,114.0,0.0,114.0,2010.0,ZoneA,21650.0,617500.0
188,7623,28/10/2017,Oyster Bay,2,1.0,House,7.9,2.0,,,,,ZoneB,5682.0,1008000.0
189,2843,28/08/2016,Malabar,3,1.0,House,5.5,1.0,,489.0,,1900.0,ZoneA,11364.0,1450000.0
190,5702,24/06/2017,Heckenberg,3,1.0,House,2.7,1.0,,119.0,,,ZoneB,14887.0,900000.0
191,989,27/11/2016,Waverly,4,,House,10.7,,,,,,ZoneB,6938.0,2160000.0
192,410,15/10/2016,Kings Park,3,2.0,House,13.0,2.0,,592.0,,,ZoneB,6795.0,1311000.0
193,5006,29/04/2017,Fairfield,1,1.0,Flat,8.8,1.0,65.0,896.0,65.0,2011.0,ZoneA,14577.0,385000.0
194,426,18/03/2017,Kings Park,3,2.0,Terrace,13.0,2.0,160.0,0.0,160.0,2012.0,ZoneB,6795.0,1235000.0
195,3990,27/06/2016,Heckenberg,2,1.0,House,3.3,0.0,84.0,176.0,84.0,1940.0,ZoneB,14887.0,1200000.0
196,9164,17/02/2018,Kellyville,3,1.0,House,12.0,2.0,,906.0,,,ZoneA,21650.0,900000.0
197,1130,27/06/2016,Greenwich,4,2.0,House,5.2,2.0,207.0,657.0,207.0,1958.0,ZoneA,11918.0,1875000.0
198,5378,03/06/2017,Abbotsford,3,,House,8.4,,,,,,ZoneB,8801.0,2355000.0
199,933,15/10/2016,Waverly,4,2.0,House,10.7,4.0,233.0,678.0,233.0,1940.0,ZoneB,6938.0,2050000.0
200,2518,07/11/2016,Abbotsford,3,2.0,House,11.2,1.0,,647.0,,,ZoneB,8801.0,1505000.0
201,354,03/09/2016,Kings Park,3,2.0,Terrace,13.0,2.0,,362.0,,1997.0,ZoneB,6795.0,895000.0
202,8713,09/12/2017,Fairfield,4,2.0,House,8.4,2.0,232.0,424.0,232.0,2013.0,ZoneA,14577.0,1500000.0
203,1267,27/11/2016,Pennant Hills,4,3.0,House,7.8,1.0,270.0,632.0,270.0,1890.0,ZoneB,8920.0,3225000.0
204,6479,09/09/2017,Tempe,4,,Terrace,4.3,,,,,,ZoneC,6567.0,850000.0
205,3053,16/07/2016,Chester Hill,3,1.0,House,3.8,0.0,106.0,108.0,106.0,1900.0,ZoneB,8648.0,1402000.0
206,9619,24/02/2018,Denver,3,1.0,House,6.3,,,288.0,,,ZoneC,6543.0,1101000.0
207,7888,11/11/2017,Kings Park,2,,Flat,11.4,,,,,,ZoneB,6795.0,745000.0
208,2231,07/05/2016,Hillbrow,3,1.0,House,4.6,0.0,108.0,218.0,108.0,1890.0,ZoneB,11308.0,1420000.0
209,2770,14/05/2016,Malabar,3,,Terrace,5.5,,,,,,ZoneA,11364.0,875000.0
210,7389,14/10/2017,Wapping,3,,House,5.4,,,,,,ZoneB,10331.0,1277500.0
211,7943,11/11/2017,Enfield,3,1.0,House,11.2,2.0,,590.0,,,ZoneA,8870.0,640000.0
212,9200,17/03/2018,Tempe,2,,Flat,4.3,,,,,,ZoneC,6567.0,466000.0
213,7852,28/10/2017,Leichhardt,2,1.0,House,7.0,1.0,,333.0,,,ZoneA,8870.0,972000.0
214,2274,15/10/2016,Hillbrow,1,1.0,Flat,4.6,1.0,41.0,0.0,41.0,1950.0,ZoneB,11308.0,400000.0
215,2854,30/07/2016,Malabar,3,1.0,House,5.5,3.0,165.0,327.0,165.0,1900.0,ZoneA,11364.0,1510000.0
216,7131,26/08/2017,Enfield,2,1.0,House,11.2,2.0,,590.0,,,ZoneA,8870.0,725000.0
217,3143,07/11/2016,Fairfield,2,1.0,House,8.8,2.0,97.0,250.0,97.0,2005.0,ZoneA,14577.0,540000.0
218,6351,03/09/2017,Preston,4,1.0,House,13.8,2.0,,583.0,,,ZoneB,10969.0,1216000.0
219,3820,25/02/2017,Surrey Hills,3,3.0,Terrace,2.6,2.0,184.0,119.0,184.0,2005.0,ZoneA,14949.0,1582000.0
220,7692,28/10/2017,Greenwich,3,1.0,House,5.2,1.0,,,,,ZoneA,11918.0,1400000.0
221,1048,12/11/2016,Greenwich,2,1.0,House,5.2,1.0,,149.0,,,ZoneA,11918.0,792000.0
222,2561,22/05/2016,Abbotsford,2,2.0,Flat,11.2,1.0,104.0,0.0,104.0,2013.0,ZoneB,8801.0,820000.0
223,3639,03/09/2016,Surrey Hills,3,1.0,House,2.6,0.0,81.0,203.0,81.0,1900.0,ZoneA,14949.0,1260000.0
224,4153,25/02/2017,Penrith,2,1.0,House,6.1,1.0,,225.0,,,ZoneB,13240.0,1435000.0
225,1868,14/05/2016,Newcastle,6,2.0,House,9.2,2.0,,0.0,,,ZoneB,10412.0,2300000.0
226,4728,20/05/2017,Granville,4,2.0,Terrace,8.0,1.0,,230.0,,,ZoneC,9264.0,1162500.0
227,7213,07/10/2017,Chipping Norton,2,1.0,House,9.7,1.0,,653.0,,,ZoneB,7809.0,1595000.0
228,5271,01/07/2017,Surrey Hills,2,2.0,Flat,2.4,2.0,123.0,180.0,123.0,1940.0,ZoneA,14949.0,890500.0
